year,km_driven,fuel,seller_type,transmission,owner,seats,mileage,engine_size,brake_horsepower,SalePrice
2012,97000,Petrol,Individual,Manual,Second Owner,5,19.4,1198,86.8,2500
2014,120000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,2060
2014,50000,Petrol,Individual,Manual,First Owner,5,21.1,814,55.2,2900
2010,30400,Petrol,Individual,Manual,Fourth & Above Owner,4,26,624,35,450
2019,15000,Diesel,Individual,Manual,First Owner,5,20,1497,115,12000
2012,110000,Diesel,Individual,Manual,Third Owner,5,21.64,1461,84.8,2200
2008,120000,Diesel,Individual,Automatic,Second Owner,5,14.84,2143,170,5150
2010,100000,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,1700
2010,120000,Diesel,Individual,Manual,Second Owner,5,17.8,1248,75,2600
2012,130000,Diesel,Individual,Manual,Second Owner,5,20.54,1598,103.6,3150
2011,76000,Petrol,Individual,Manual,Second Owner,5,20.92,998,67.1,2250
2012,110000,Diesel,Individual,Manual,Third Owner,5,19.33,1968,138.1,4200
2011,96000,Diesel,Individual,Manual,First Owner,8,12.05,2179,120,5250
2018,90000,Diesel,Individual,Automatic,First Owner,5,28.4,1248,74,6700
2012,110000,Diesel,Individual,Manual,Third Owner,5,21.64,1461,84.8,2200
2013,25000,Diesel,Individual,Manual,First Owner,5,20,1399,68.1,2500
2009,90000,Diesel,Individual,Manual,Second Owner,5,19.3,1248,73.9,2299.99
2009,164000,Diesel,Individual,Manual,Second Owner,5,19.3,1248,73.9,2299.99
2013,120000,Petrol,Individual,Manual,Second Owner,5,18,1198,86.7,3000
2010,66000,Petrol,Individual,Manual,Second Owner,5,19,998,66.1,1650
2010,250000,Diesel,Individual,Manual,First Owner,7,13.93,2179,138,2950
2011,157000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.3,3600
2011,157000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.3,3800
2017,35000,Petrol,Individual,Manual,First Owner,5,23.01,999,67,3000
2008,100000,Diesel,Individual,Manual,Second Owner,9,12.7,2609,116.6,3200
2016,70000,Petrol,Individual,Manual,Second Owner,7,19.44,1198,67,3250
2010,30000,Diesel,Individual,Manual,Second Owner,5,21.12,1248,88.8,1600
2018,40000,Diesel,Individual,Manual,First Owner,7,16.5,1493,70,6300
2020,5000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,6000
2014,30000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,2299.99
2014,70000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74,4400
2007,60000,Petrol,Individual,Manual,Second Owner,5,18,995,62,900
2017,60000,Diesel,Individual,Manual,First Owner,5,28.09,1248,88.5,7500
2012,80000,Petrol,Individual,Manual,Second Owner,5,16.8,1497,116.3,3300
2016,70000,Diesel,Individual,Manual,Second Owner,5,28.09,1248,88.5,7150
2013,150000,Diesel,Individual,Manual,Second Owner,5,20.86,1199,75,2500
2007,150000,Petrol,Individual,Manual,Second Owner,5,18.2,1061,64,1200
2004,25000,Petrol,Individual,Manual,Third Owner,5,14.2,1597,92,1000
2017,35000,Diesel,Individual,Automatic,Second Owner,5,21.72,1498,108.6,8500
2018,48000,Diesel,Individual,Manual,First Owner,5,25.4,1186,73.97,4500
2012,200000,Diesel,Individual,Manual,First Owner,5,22.07,1199,73.9,2400
2015,135000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,6000
2016,110000,Diesel,Individual,Manual,Second Owner,7,18.2,1248,73.74,2800
2012,146000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.32,4650
2018,44000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,3500
2013,70000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,3250
2004,271000,Diesel,Individual,Manual,First Owner,5,16.8,1405,62,500
2006,120000,Petrol,Individual,Manual,Third Owner,5,19.7,796,46.3,1100
2013,80000,Diesel,Individual,Manual,First Owner,5,23.03,1396,69,2200
2015,60000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,5150
2018,40000,Petrol,Individual,Manual,First Owner,5,20.73,1373,91.1,7500
2018,25000,Petrol,Individual,Manual,First Owner,5,21.1,814,55.2,3500
2019,15000,Petrol,Individual,Manual,First Owner,5,18.9,1197,81.86,4889.99
2017,27000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,3000
2017,35000,Diesel,Individual,Manual,Second Owner,5,27.39,1248,74,6500
2014,40000,Petrol,Individual,Manual,First Owner,5,19,998,66.1,2500
2014,40000,Petrol,Individual,Manual,Third Owner,5,22.74,796,47.3,2000
2015,75262,Diesel,Individual,Manual,First Owner,7,15.4,2179,120,9500
2012,120000,Diesel,Individual,Manual,First Owner,5,23.03,1396,69,2000
2016,60000,Petrol,Individual,Manual,First Owner,5,20.3,998,68.05,2760
2014,40000,Petrol,Individual,Manual,First Owner,5,21.1,814,55.2,2500
2008,80000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,950
2011,70000,Diesel,Individual,Manual,Second Owner,5,23.57,1396,70,2000
2012,100000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.32,4500
2013,18000,Diesel,Individual,Manual,First Owner,7,15.1,2179,140,9000
2010,175000,Diesel,Individual,Manual,First Owner,5,19.09,1396,69,2000
2010,70000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,2000
2011,91863,Diesel,Individual,Manual,Second Owner,7,15.96,2523,62.1,3700
2008,100000,Petrol,Individual,Manual,First Owner,5,15.2,1193,65,2500
2016,10000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,2900
2018,35000,Diesel,Individual,Manual,First Owner,7,24.52,1248,88.5,9000
2013,120000,Diesel,Individual,Manual,Second Owner,5,20,1399,68.1,3250
2016,30000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4250
2016,60000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,3150
2014,70000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3000
2013,70000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,3250
2016,130000,Diesel,Individual,Manual,First Owner,5,21.38,1396,88.7,9000
2016,133000,Diesel,Individual,Manual,First Owner,5,21.38,1396,88.7,9500
2010,120000,Diesel,Individual,Manual,Third Owner,5,20.54,1598,103.6,3200
2019,20000,Petrol,Individual,Manual,First Owner,5,19.44,999,75,5000
2012,25000,Petrol,Individual,Manual,First Owner,5,15.6,1196,70,2900
2012,90000,Petrol,Individual,Manual,First Owner,4,25.4,624,37.48,600
2009,140000,Petrol,Individual,Manual,Third Owner,5,19,998,66.1,1200
2017,103000,Diesel,Dealer,Manual,First Owner,5,25.6,1498,97.9,8500
2017,23000,Diesel,Dealer,Manual,First Owner,7,13.68,2393,147.8,17500
2015,128000,Diesel,Dealer,Manual,First Owner,5,26,1498,98.6,6000
2015,33000,Diesel,Individual,Manual,First Owner,5,20.14,1498,88.8,6200
2009,70000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1500
2008,40000,Petrol,Individual,Manual,Fourth & Above Owner,5,12.85,1396,99.6,1350
2011,80000,Diesel,Individual,Manual,First Owner,5,17,1405,71,2000
2015,70000,Diesel,Individual,Manual,First Owner,5,26.21,1248,88.5,7300
2013,100000,Diesel,Individual,Manual,First Owner,8,12.99,2494,100.6,8000
2009,90000,Diesel,Individual,Manual,Second Owner,8,14,2498,112,3000
2012,112000,Diesel,Individual,Manual,Second Owner,5,20,1399,68,1900
2011,50000,Petrol,Individual,Manual,First Owner,5,15.5,1799,132,3500
2015,62000,Diesel,Individual,Manual,Second Owner,5,24.4,1120,71,5099.99
2012,90000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,4000
2013,80000,Diesel,Individual,Manual,First Owner,7,12.99,2494,100,8000
2013,50000,Diesel,Individual,Manual,First Owner,5,21.02,1248,88.8,2500
2016,47552,Diesel,Individual,Manual,Second Owner,5,19.67,1582,126.2,9300
2016,40000,Diesel,Individual,Manual,Second Owner,5,24.3,1248,88.5,7200
2011,15000,Petrol,Individual,Manual,First Owner,5,15.6,1196,70,2250
2019,20000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,9500
2018,52000,Petrol,Individual,Manual,First Owner,5,17.19,1197,81.86,5300
2016,70000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,4700
2017,110000,Diesel,Individual,Manual,First Owner,9,15.96,2523,63,6500
2014,77500,Diesel,Individual,Manual,Second Owner,7,14,2179,138.1,5400
2015,100000,Diesel,Individual,Manual,Second Owner,5,25.2,1248,74,4599.99
2019,14700,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,3250
2016,40000,Petrol,Individual,Manual,First Owner,5,16.8,796,34.2,2400
2017,32000,Petrol,Individual,Manual,Second Owner,6,18.15,1198,82,4000
2004,70000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,700
2009,80000,Petrol,Individual,Manual,First Owner,5,17.5,1298,85.8,2500
2014,80000,Diesel,Individual,Manual,Second Owner,8,12.99,2494,100.6,9100
2018,25000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,7200
2015,50000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,5900
2015,120000,Diesel,Individual,Manual,First Owner,10,13.58,2499,72.4,4340
2006,170000,Diesel,Individual,Manual,First Owner,7,13.6,2523,63,1450
2018,19700,Petrol,Individual,Manual,First Owner,5,18.15,1198,82,4450
2018,50000,Diesel,Individual,Manual,Fourth & Above Owner,5,25.83,1498,99,3720
2005,90000,Petrol,Individual,Manual,Second Owner,5,18.9,998,67.1,650
2015,140000,Diesel,Individual,Manual,First Owner,5,20,1399,68.05,3000
2003,120000,Diesel,Individual,Manual,Third Owner,8,12.7,2609,116.6,1250
2017,40000,Petrol,Individual,Manual,First Owner,5,20.3,1199,84,5200
2014,70000,Petrol,Individual,Manual,Third Owner,5,22.74,796,47.3,1900
2018,7000,Petrol,Individual,Manual,First Owner,5,22.5,999,67,3100
2012,90000,Diesel,Individual,Manual,First Owner,8,12.8,2494,102,7500
2016,110000,Diesel,Individual,Automatic,First Owner,7,18.49,1493,100,7500
2019,15000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3500
2020,5000,Petrol,Individual,Manual,First Owner,5,22.05,796,47.3,3600
2017,5000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,2850
2013,70000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,1600
2015,60000,Petrol,Individual,Manual,Second Owner,7,19.44,1198,67,2299.99
2007,120000,Petrol,Individual,Manual,Third Owner,5,19.7,796,46.3,850
2018,7000,Petrol,Individual,Manual,First Owner,5,22.5,999,67,3000
2014,120000,Diesel,Individual,Manual,First Owner,7,12.05,2179,120,6750
2014,145241,Diesel,Individual,Manual,First Owner,7,12.05,2179,120,7000
2008,110000,Diesel,Individual,Manual,First Owner,8,12.7,2609,116.6,4000
2016,30000,Petrol,Individual,Manual,Third Owner,5,25.17,799,53.3,2549.99
2015,80000,Diesel,Individual,Manual,Second Owner,7,15.4,2179,120,10500
2013,100000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,3900
2015,80000,Diesel,Individual,Manual,First Owner,5,23.59,1364,67.04,4500
2016,40000,Diesel,Individual,Automatic,Second Owner,7,11.36,2755,171.5,16300
2017,50000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,7250
2013,95500,Diesel,Individual,Manual,Second Owner,7,14,2179,138.1,4660
2017,40000,Petrol,Individual,Manual,Second Owner,5,18.16,1196,86.8,3700
2007,70000,Petrol,Individual,Manual,Third Owner,5,18.2,1061,64,1500
2017,15000,Petrol,Individual,Manual,First Owner,5,23.1,998,67.04,4830
2016,10000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4700
2018,25000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,9500
2013,50000,Petrol,Individual,Manual,Third Owner,5,17.01,1591,121.3,4500
2011,70000,Petrol,Individual,Manual,First Owner,5,17.6,1496,88.7,3450
2009,60000,Petrol,Individual,Manual,First Owner,5,19,998,66.1,3000
2007,74800,Petrol,Individual,Manual,Second Owner,5,18.2,998,67.1,1600
2004,80000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37,1200
2020,40000,Petrol,Individual,Manual,First Owner,5,17.57,1193,88.7,5000
2018,40000,Diesel,Individual,Manual,First Owner,7,16,2179,138,13500
2017,50000,Diesel,Individual,Manual,First Owner,5,24,1186,73.97,4550
2013,45000,Petrol,Individual,Manual,Second Owner,5,21.1,814,55.2,1650
2016,23700,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,4700
2016,23700,Petrol,Individual,Manual,First Owner,5,20.4,1197,81.8,4700
2019,10000,Petrol,Individual,Manual,First Owner,5,16,1368,160,15200
2014,53473,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,2299.99
2011,100000,Diesel,Individual,Manual,Second Owner,9,15.96,2523,63,2500
2016,25000,Diesel,Individual,Manual,First Owner,7,16,2179,140,13500
2013,80000,Petrol,Individual,Manual,First Owner,5,17.92,1086,62.1,2200
2015,120000,Diesel,Individual,Manual,First Owner,5,24.4,1120,71,3600
2018,40000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3500
2012,70000,Diesel,Individual,Manual,First Owner,5,22.32,1582,126.32,5000
2013,90000,Diesel,Individual,Manual,Third Owner,5,25.44,936,57.6,1450
2014,51000,Petrol,Individual,Manual,First Owner,5,18.2,1199,82.5,3000
2009,87000,Petrol,Individual,Manual,Second Owner,5,13.2,1495,94,1800
2013,40000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,5300
2014,90000,Diesel,Individual,Manual,Second Owner,5,19.01,1461,108.45,6200
2015,110000,Petrol,Individual,Manual,Third Owner,5,16.78,1496,88.73,3600
2010,86000,Petrol,Individual,Manual,Second Owner,5,17.92,1086,62.1,2450
2003,80000,Petrol,Individual,Manual,Third Owner,5,14.2,1597,92,1300
1999,65000,Petrol,Individual,Manual,Fourth & Above Owner,5,15.9,1298,85,700
1999,70000,Petrol,Individual,Manual,Fourth & Above Owner,5,15.9,1298,85,700
2014,140000,Diesel,Individual,Manual,Second Owner,5,25.01,1498,89.75,6500
2019,18000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,6100
2015,24000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3000
2014,60000,Diesel,Individual,Manual,First Owner,5,24,1120,70,4250
2012,150000,Diesel,Individual,Manual,Third Owner,5,22.32,1582,126.32,4500
2011,108000,Diesel,Individual,Manual,First Owner,5,22.32,1582,126.3,4500
2011,60000,Petrol,Individual,Automatic,Third Owner,5,16.95,1197,78.9,3400
2013,90000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,6500
2009,70000,Diesel,Individual,Manual,First Owner,5,19.09,1396,69,1600
2014,120000,Diesel,Individual,Manual,First Owner,5,19.1,1405,70,2500
2012,100000,Diesel,Individual,Manual,Third Owner,5,25.44,936,57.6,2250
2007,75958,Diesel,Individual,Manual,Second Owner,5,17.88,1396,52.8,550
1996,70000,Petrol,Individual,Manual,Third Owner,4,16.1,796,37,420
2006,128000,Diesel,Individual,Manual,Fourth & Above Owner,7,12.6,1991,112,2820
2007,110000,Diesel,Individual,Manual,Third Owner,5,16.8,1405,62,800
2016,40000,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,5000
2016,70000,Diesel,Individual,Manual,First Owner,5,25.83,1498,99,5000
2011,60000,Diesel,Individual,Manual,First Owner,5,22.9,1248,74,4000
2013,90000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,5500
2007,70000,Diesel,Individual,Manual,Second Owner,7,13.93,2179,138.1,2000
2012,65000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,2800
2014,88000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,5800
2009,80000,Diesel,Individual,Manual,Third Owner,5,18.8,1248,90,1000
2014,60000,Diesel,Individual,Manual,First Owner,8,14,2523,75,5500
2017,38000,Diesel,Individual,Manual,First Owner,7,18.49,1493,100,7000
2010,80000,Petrol,Individual,Manual,Third Owner,5,15,1368,90,1500
2014,60000,Petrol,Individual,Manual,Second Owner,5,21.1,814,55.2,1900
2013,110000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,5000
2017,110000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74,6400
2011,145000,Diesel,Individual,Manual,First Owner,5,20.86,1199,75,3400
2019,43000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.76,8110
2016,120000,Diesel,Individual,Manual,First Owner,5,23.2,1248,73.94,4099.99
2007,136000,Petrol,Individual,Manual,Second Owner,5,16.1,1298,88.2,2200
2013,120000,Diesel,Individual,Manual,Second Owner,5,17.88,1405,48.21,1700
2018,25000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.86,7000
2015,80000,Diesel,Individual,Manual,Second Owner,7,15.4,2179,120,9500
2003,40000,Petrol,Individual,Manual,Second Owner,5,14.4,1599,94,800
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,27110
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2015,110000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,5030
2019,20000,Diesel,Individual,Automatic,First Owner,5,18,1969,190,38000
2016,68089,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,20000
2013,58343,Petrol,Dealer,Manual,First Owner,5,21.79,998,67.05,2250
2018,38817,Diesel,Dealer,Manual,First Owner,5,27.39,1248,74,7400
2016,56494,Petrol,Dealer,Manual,First Owner,5,18.2,1199,88.7,5500
2013,79328,Diesel,Dealer,Manual,Second Owner,7,12.99,2494,100.6,7500
2019,5621,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6500
2017,25538,Petrol,Dealer,Manual,First Owner,5,16.78,1496,88.73,6250
2018,69779,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6000
2017,56290,Diesel,Dealer,Manual,First Owner,5,24,1186,73.97,4500
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,54000
2019,8500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,55000
2019,7032,Petrol,Dealer,Automatic,First Owner,5,19,1199,88.76,7790
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,2000,Diesel,Dealer,Automatic,First Owner,5,16.8,1984,150,24750
2014,120000,Diesel,Individual,Manual,Second Owner,5,23.4,1248,74,4200
2018,35000,Diesel,Individual,Manual,First Owner,5,25.1,1248,88.5,8990
2019,35000,Petrol,Individual,Manual,First Owner,5,19.83,1198,67,4599.99
2008,120000,Diesel,Individual,Manual,Second Owner,5,18.1,1493,110,1500
2017,25000,Petrol,Individual,Manual,First Owner,5,23.01,999,67,3500
2015,100000,Diesel,Individual,Manual,Second Owner,5,23.59,1364,67.05,5099.99
2013,120000,Diesel,Individual,Manual,Third Owner,9,15.96,2523,62.1,5000
2017,35000,Petrol,Individual,Manual,First Owner,5,17.57,1193,88.7,3700
2013,44000,Petrol,Individual,Manual,Second Owner,5,20.92,998,67.1,2400
2015,100000,Diesel,Individual,Manual,Second Owner,5,22.54,1396,88.73,5300
2015,133000,Diesel,Individual,Manual,Second Owner,7,15.4,2179,120,10000
2018,35000,Diesel,Individual,Manual,Second Owner,7,13.68,2393,147.8,16000
2014,64000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,3500
2015,70000,Diesel,Individual,Automatic,First Owner,7,16,2179,140,11000
2011,70000,Petrol,Individual,Manual,First Owner,5,18.5,1197,80,2200
2015,100000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,3500
2013,90000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74,3700
2014,50000,Petrol,Individual,Manual,First Owner,5,17.5,1298,85.8,2200
2013,80000,Diesel,Individual,Manual,First Owner,5,22.1,1248,76.9,2000
2017,50000,Diesel,Individual,Manual,First Owner,6,25.32,1198,77,4000
2009,55000,Petrol,Individual,Manual,First Owner,5,14.6,1368,88.7,1500
2020,40000,Petrol,Individual,Automatic,First Owner,8,10.75,2694,163.7,15000
2011,70000,Petrol,Individual,Manual,Second Owner,5,14,796,35,1300
2013,80000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,1850
2012,120000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,4500
2018,20000,Petrol,Individual,Manual,Second Owner,5,18.9,1197,81.86,5000
2017,31596,Petrol,Dealer,Manual,First Owner,5,17,1497,121.36,5700
2013,85710,Diesel,Dealer,Manual,First Owner,7,15.1,2179,140,6500
2012,129627,Diesel,Dealer,Manual,First Owner,7,11.5,2982,171,16800
2018,10000,Petrol,Individual,Manual,First Owner,5,22.7,799,53.64,2500
2014,15000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,3200
2017,35000,Petrol,Individual,Automatic,First Owner,5,20.51,998,67,4400
2013,49000,Petrol,Individual,Manual,Second Owner,5,18.5,1197,82.85,3150
2010,158000,Diesel,Individual,Manual,First Owner,5,18.8,1248,90,2029.99
2012,30000,Petrol,Individual,Manual,Second Owner,5,21.1,814,55.2,1790
2008,60000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,1400
2008,40000,Petrol,Individual,Manual,Second Owner,5,18.2,1061,64,1500
2011,60000,Diesel,Individual,Manual,Second Owner,7,13.6,2523,63,4400
2011,55130,Diesel,Dealer,Manual,Second Owner,5,20,1399,68,2500
2014,22000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,3300
2010,48000,Petrol,Individual,Manual,First Owner,5,15.6,1196,70,2500
2012,45000,Petrol,Individual,Manual,First Owner,5,18.5,1197,82.85,3350
2016,22522,Diesel,Dealer,Manual,First Owner,7,16,2179,140,10250
2012,51856,Petrol,Dealer,Manual,Third Owner,5,18.5,1197,80,3200
2015,29434,Petrol,Individual,Manual,First Owner,5,20.73,1373,91.1,5500
2018,25000,Diesel,Individual,Manual,First Owner,5,25.5,1498,98.6,8000
2017,28000,Petrol,Individual,Manual,Second Owner,5,23.84,1199,84,3800
2013,44500,Diesel,Individual,Manual,Second Owner,5,20.46,1461,83.8,4000
2016,34500,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,3750
2017,20000,Petrol,Individual,Automatic,First Owner,5,18,1497,117.6,11000
2018,15000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,6500
2014,26000,Petrol,Individual,Automatic,First Owner,5,19.34,1198,76,3610
2012,20000,Petrol,Individual,Manual,First Owner,5,21.1,814,55.2,1400
2019,3000,Petrol,Individual,Manual,First Owner,5,20.14,1197,81.86,5500
2019,20000,Petrol,Individual,Manual,First Owner,5,19.5,1199,88.76,6700
2017,25000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,8800
2018,35000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,9500
2010,60000,Diesel,Individual,Manual,First Owner,5,18.3,1991,147.9,3000
2017,6825,Petrol,Individual,Automatic,First Owner,5,18,1497,117.6,11500
2015,155000,Diesel,Individual,Automatic,First Owner,5,14.81,1998,163.7,4500
2016,13500,Petrol,Individual,Manual,First Owner,7,17.5,1373,91.1,6000
2008,260000,Diesel,Individual,Manual,First Owner,8,12.8,2494,102,7000
2018,65000,Diesel,Individual,Manual,First Owner,5,25.4,1186,73.97,6000
2014,95000,Diesel,Individual,Manual,Second Owner,8,14.02,2179,118.3,6300
2016,40000,Petrol,Individual,Manual,Second Owner,5,20.73,1373,91.1,5900
2019,30000,Petrol,Individual,Manual,First Owner,5,20.3,1086,68,4200
2016,120000,Diesel,Individual,Manual,First Owner,7,13.5,2477,175.56,19500
2013,112011,Diesel,Individual,Manual,First Owner,7,13.93,2179,138.1,5410
2015,125000,Diesel,Individual,Manual,First Owner,7,12.99,2494,100.6,9000
2015,125000,Diesel,Individual,Manual,First Owner,7,12.99,2494,100.6,9000
2009,43000,Diesel,Individual,Manual,First Owner,5,18.8,1248,90,2500
2019,53534,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,6700
2019,20000,Petrol,Individual,Manual,First Owner,5,20.3,1199,83.81,5300
2012,70000,Diesel,Individual,Manual,Second Owner,5,25.44,936,57.6,1500
2013,70000,Diesel,Individual,Manual,Third Owner,7,15.1,2179,140,5500
2015,150000,Diesel,Individual,Manual,First Owner,7,15.4,1997,120,6500
2012,100000,Diesel,Individual,Manual,Second Owner,5,19.4,1405,70,1800
2015,50000,Diesel,Individual,Manual,First Owner,7,16.55,2498,105,5850
2013,120000,Petrol,Individual,Manual,Second Owner,5,18.5,1197,82.85,3450
2013,110000,Diesel,Individual,Manual,Third Owner,5,22.9,1248,74,3500
2016,140000,Petrol,Individual,Manual,First Owner,7,15.4,1497,117.3,7250
2012,120000,Diesel,Individual,Manual,First Owner,7,15.42,1405,70,2500
2002,70000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37,450
2007,248119,Diesel,Individual,Manual,Fourth & Above Owner,8,12.8,2494,102,4099.99
2017,16500,Petrol,Individual,Manual,Second Owner,5,23.01,999,67,3250
2016,9900,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3500
2012,80000,Petrol,Individual,Manual,Third Owner,5,19.7,796,46.3,1800
2010,100000,Petrol,Individual,Manual,Second Owner,5,16,1368,90,1500
2020,20000,Petrol,Individual,Manual,First Owner,5,23.26,1197,88.5,7000
2016,90000,Diesel,Individual,Manual,First Owner,5,28.09,1248,88.5,7950
2019,15000,Diesel,Individual,Manual,First Owner,6,16.55,2498,105,9500
2018,75000,Diesel,Individual,Automatic,First Owner,5,21.5,1498,108.5,8850
2011,140000,Diesel,Individual,Manual,First Owner,5,21.1,1248,73.9,1600
2012,120000,Diesel,Individual,Manual,Second Owner,5,23,1396,90,3000
2018,75000,Diesel,Individual,Automatic,First Owner,5,21.5,1498,108.5,9500
2015,90000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,5490
2018,20000,Diesel,Individual,Automatic,First Owner,5,20.38,1968,143,30000
2015,61000,Diesel,Individual,Manual,First Owner,7,12.99,2494,100.6,12000
2012,100000,Diesel,Individual,Manual,Second Owner,5,21.8,1461,78,5700
2017,60000,Diesel,Individual,Manual,Second Owner,6,16.55,2498,105,8000
2009,100000,Diesel,Individual,Manual,First Owner,5,18.1,1493,110,3750
2009,170000,Diesel,Individual,Manual,Third Owner,7,13.6,2523,63,3000
2013,100000,Petrol,Individual,Manual,Second Owner,5,16.78,1496,88.73,3500
2011,120000,Diesel,Individual,Manual,Second Owner,7,13.6,2523,63,4000
2015,50000,Diesel,Individual,Manual,First Owner,5,20.14,1498,88.8,4349.99
2015,25000,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,2600
2013,24019,Diesel,Individual,Manual,First Owner,5,22.9,1248,74,4500
2013,80000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.32,4599.99
2011,100000,Diesel,Individual,Manual,Second Owner,5,21.1,1248,73.9,2100
2015,93000,Petrol,Individual,Manual,Second Owner,5,20.85,1197,83.14,5400
2017,50000,Diesel,Individual,Manual,First Owner,7,24.52,1248,88.5,7100
2018,22000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,2850
2019,19600,Diesel,Individual,Manual,First Owner,5,22.1,1396,88.7,9900
2017,104000,Petrol,Individual,Manual,First Owner,5,15.64,1193,64.1,3620
2017,33000,Diesel,Individual,Manual,First Owner,5,23,1498,98.96,8800
2017,60000,Diesel,Individual,Manual,First Owner,7,18.49,1493,100,7000
2016,60000,Diesel,Individual,Manual,First Owner,9,15.96,2523,63,6000
2015,40000,Petrol,Individual,Manual,First Owner,5,13.24,1598,102.5,7000
